 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1943   266.2   196.2   160.0    75.4    46.8    16.2     0.6     2.2     6.1     0.5    43.5   153.2   282.2    19.1    50.1   558.4   967.0
 1944   174.7   230.4   302.9    37.4    29.6    10.2     2.7     0.0     0.9    13.3   134.2   241.9   369.9    12.9   148.5   846.6  1178.4
 1945   318.2   286.5   255.5   104.9    36.1     7.5     5.9     2.1     0.4     3.3    55.1   182.4   396.4    15.6    58.7   592.7  1257.9
 1946   220.8   189.5   326.9   101.8    19.2    15.6     4.9     7.5     2.2     0.4   154.1   226.3   448.0    27.9   156.7   691.6  1269.2
 1947   268.6   196.7   319.3   133.7    44.8     6.2     7.4     1.1     6.0    18.1    65.7   210.1   497.9    14.7    89.8   805.1  1277.8
 1948   272.9   322.1   226.8   156.4    20.8     7.4     8.6     5.3     4.3    13.1    77.7   102.1   404.0    21.3    95.1   385.5  1217.6
 1949    80.5   202.8   191.6    50.9    41.9    11.8     5.2     0.7     5.1    11.8    44.2   160.6   284.4    17.6    61.1   832.5   807.0
 1950   387.5   284.4   272.8   103.0    49.4     8.0    13.0     3.4     0.7    40.8    53.8   179.6   425.3    24.4    95.3   705.1  1396.5
 1951   240.8   284.6   203.2    80.5    39.2    11.1     3.3    10.4     1.1     9.6    90.7   253.4   322.9    24.8   101.4   882.6  1227.9
 1952   244.6   384.7   235.2   167.2    22.5     8.1     6.1     1.6     3.7    13.7   106.0   127.6   424.9    15.8   123.4   500.9  1321.0
 1953   220.7   152.6   272.0    69.1    19.4     4.5     7.2     2.7     4.9     4.1    42.2   271.7   360.5    14.3    51.1   647.0  1070.9
 1954   186.0   189.4   184.8    53.0    15.6     8.8     0.9     5.3     3.7     3.2   100.8   184.8   253.4    14.9   107.7   747.6   936.2
 1955   252.9   309.9   211.0   129.9    43.4    11.0    11.8     1.9     2.1     2.8    41.7   196.0   384.3    24.8    46.6   745.1  1214.4
 1956   340.6   208.5   284.9   242.3    50.8    19.0     4.7     3.1     4.6     9.1    99.9   247.9   578.1    26.7   113.6   771.3  1515.3
 1957   315.2   208.2   181.7   177.3    57.2     4.7     0.5     1.4     0.6     4.1     8.4   246.6   416.2     6.6    13.1   684.6  1205.8
 1958   232.5   205.4   136.7    75.5     9.0    22.9     6.0     7.8     8.2     7.6    48.0   193.5   221.3    36.7    63.8   675.1   953.2
 1959   217.0   264.6   169.9    51.1     7.3    11.3     6.4     6.0     3.8    28.7    64.9   221.9   228.2    23.7    97.4   659.4  1052.8
 1960   180.7   256.8   241.0    99.6    15.4    18.0    10.7     0.5     6.5     3.4    47.4   184.3   356.0    29.2    57.3   646.6  1064.2
 1961   250.9   211.3   296.8   151.0    38.6    15.7    36.9     9.7     5.5    15.0   104.2   248.7   486.4    62.3   124.6   765.9  1384.2
 1962   335.4   181.8   243.5   176.2    31.0     4.1    10.7     4.7     1.3    16.0    78.6   230.3   450.7    19.5    96.0   756.1  1313.7
 1963   267.9   257.9   309.1   114.5     7.9     3.3     7.3     0.1     2.4    15.9   154.8   261.1   431.5    10.7   173.1   754.0  1402.2
 1964   295.2   197.8   132.9    34.5     9.7     2.6    17.5     6.1     0.1     0.7    59.7   173.6   177.1    26.2    60.6   667.3   930.4
 1965   267.4   226.3   264.6    88.6    16.7     8.9     1.6     2.9     6.5    14.9    60.3   213.5   369.9    13.4    81.7   639.0  1172.2
 1966   169.5   256.0   186.4    72.5    38.7    16.0     6.0     0.7     3.1    12.0    70.4   181.1   297.6    22.7    85.5   509.6  1012.4
 1967   168.7   159.8   266.1   185.5    58.6    18.8    19.1    10.1     4.3    16.6    83.1   221.0   510.2    47.9   104.0   621.1  1211.6
 1968   187.3   212.9   190.0   112.3    36.2    30.4     8.6     2.6     1.1     3.6   111.4   256.4   338.6    41.6   116.2   702.7  1153.0
 1969   244.6   201.7   161.6   170.3    22.8     9.7     7.7     6.4     5.1    13.6    34.6   295.1   354.6    23.8    53.4   773.9  1173.2
 1970   262.7   216.2   131.7    72.3    12.4     8.3    11.6     0.6     0.3    19.9   130.5   305.7   216.4    20.4   150.7   859.1  1172.0
 1971   316.0   237.4   163.3    94.3    25.9     2.7     3.6     0.1     1.3    11.0    83.9   187.8   283.5     6.4    96.2   617.4  1127.3
 1972   247.6   181.9   170.4   116.4    46.3    12.8     5.2     4.0     1.7    13.4   104.1   201.7   333.2    22.0   119.2   552.8  1105.6
 1973   194.3   156.8   182.4   141.7     7.3    11.5     8.1     2.1     0.8     8.7    51.0   193.6   331.4    21.8    60.5   723.5   958.4
 1974   308.0   221.9   296.5   169.7   114.4    17.8    33.5     1.7     2.8     8.6    50.7   212.0   580.6    53.0    62.1   581.3  1437.5
 1975   174.5   194.8   240.5   138.2    13.4     9.7     4.1     5.1     0.5    17.1    45.6   184.0   392.2    18.8    63.1   752.9  1027.4
 1976   278.0   290.9   271.8   203.0    39.2    24.0     5.2     1.0     1.1    31.3    24.8   191.3   513.9    30.2    57.2   619.5  1361.5
 1977   273.1   155.2   226.6    89.0    25.9     3.5     4.0     3.0     5.3    10.4    84.7   223.6   341.5    10.5   100.5   703.7  1104.4
 1978   272.5   207.6   394.9   123.1     7.2    16.6     6.0     0.0     1.6    19.5    85.6   302.3   525.1    22.6   106.7   749.7  1436.7
 1979   176.2   271.2   304.2   102.2    11.7     7.1    13.6     2.3     3.1    17.7   122.3   203.3   418.1    23.0   143.1   565.5  1234.9
 1980   205.1   157.1   276.9   206.9    20.6     4.6     3.9     2.7     8.6    24.1    31.0   333.0   504.4    11.3    63.7   788.2  1274.5
 1981   167.8   287.4   172.0    85.7    29.4     3.6     3.4     1.1     4.7    22.1    52.2   170.0   287.1     8.1    79.0   661.1   999.4
 1982   236.5   254.6   170.1   177.5    67.0     7.2    17.2     5.4     2.3    44.3    97.2   181.5   414.5    29.8   143.7   571.6  1260.7
 1983   201.4   188.6   145.2    95.6    23.3    17.4    17.8     2.0     0.4    12.0    31.2   233.7   264.1    37.3    43.6   652.7   968.7
 1984   167.8   251.2   220.4    59.6    24.0    11.3     6.5     1.7     5.6    11.2   118.8   305.5   304.0    19.4   135.6   703.7  1183.5
 1985   197.9   200.3   277.2   111.3    17.3     6.7     6.2     6.3     6.8    21.9   165.1   245.8   405.9    19.2   193.7   770.9  1262.8
 1986   320.3   204.8   232.6   115.5    15.4    11.2     2.4     0.2     2.7    39.9    77.1   249.5   363.5    13.8   119.7   685.5  1271.6
 1987   250.4   185.7   155.6    62.7    10.4     6.7     1.0     1.0     1.1    21.6    28.9   157.5   228.7     8.7    51.5   670.7   882.5
 1988   263.3   249.9   241.7    83.7    39.3     7.3     2.1     2.4     0.7    39.4    71.2   169.6   364.7    11.9   111.3   739.1  1170.6
 1989   316.3   253.3   358.1   124.7    23.7     8.3    10.2     5.3     2.4     9.4   117.0   232.8   506.5    23.8   128.8   661.9  1461.5
 1990   241.6   187.5   106.1    66.7    86.0     3.6     2.5     4.9     5.3     3.2    42.0   123.0   258.8    10.9    50.5   588.5   872.3
 1991   283.0   182.5   229.0   105.2    24.9     2.1    11.2     2.1     4.7    13.1    83.2   176.8   359.1    15.3   101.0   438.2  1117.8
 1992   192.7    68.7   170.0    40.1    25.0     3.3     4.8     0.6     0.0     2.0    80.4   161.9   235.1     8.6    82.4   651.3   749.4
 1993   256.9   232.5   199.2    94.9    20.4    11.0     2.1     7.8     4.9    13.6    69.6    96.8   314.5    20.9    88.1   532.1  1009.7
 1994   259.5   175.8   149.8    63.7     3.5     6.1     3.4     5.6     2.0    18.8    43.9   115.3   217.0    15.1    64.7   588.8   847.4
 1995   280.4   193.1   138.1    59.1    15.9     2.0     1.9     2.0     0.7     4.2    30.1   243.8   213.1     5.9    35.0   730.8   971.3
 1996   216.8   270.2   284.0    77.6    61.1     8.4     4.2     0.6     3.3     7.7    21.9   221.0   422.7    13.2    32.9   743.1  1176.9
 1997   234.3   287.7   117.3   165.2     4.1     1.8    22.2     0.3     5.1    29.6    80.4   281.4   286.5    24.2   115.1   741.2  1229.3
 1998   288.2   171.6   135.4    61.3    11.5     0.9     2.4     4.5     0.9    18.1    40.3   145.8   208.2     7.8    59.2   696.8   880.9
 1999   317.5   233.5   336.0   144.7    23.2    17.9     8.0     8.9     2.4     2.7    61.9   121.6   504.0    34.8    67.0   541.6  1278.4
 2000   215.9   204.1   222.1    82.8    41.5     9.5     6.9     1.1     0.2     7.7   151.5   236.1   346.4    17.5   159.4   764.4  1179.5
 2001   233.1   295.2   279.9    83.2    43.7     4.5     1.6     1.8     2.6    11.3    44.3   185.9   406.8     7.9    58.2   603.2  1187.1
 2002   276.3   141.0   239.3    88.4     7.2    16.2     1.3     2.2     2.4    11.6    79.5   169.0   334.8    19.8    93.5   575.5  1034.4
 2003   192.5   214.1   237.7    91.9    27.8     5.5    22.0     5.2     0.6     4.8    33.8   194.9   357.4    32.7    39.3   657.2  1030.8
 2004   273.5   188.8   176.0   181.2     7.7    12.9     1.9    11.6     1.7    17.9    75.0   239.6   364.9    26.4    94.6   579.3  1187.8
 2005   224.8   115.0   178.6    73.3    28.2     8.4     8.4     2.8     3.0     6.2    88.1   187.2   280.1    19.5    97.3   411.8   923.9
 2006   125.4    99.3   216.8   160.2    32.6     2.7     6.1     0.9     2.5    13.5    95.6   272.0   409.6     9.7   111.6   794.0  1027.5
 2007   323.2   198.8   158.5    71.5    19.1     3.8     8.2     5.4     1.5    31.6    55.1   258.4   249.0    17.3    88.1   729.4  1134.9
 2008   228.9   242.1   207.4    64.5    28.6     1.9     3.2     2.6     5.5    21.4    52.8   256.5   300.5     7.7    79.8   727.6  1115.5
 2009   259.7   211.4   241.6    94.3    11.3     0.8     4.7     0.9     2.7     9.8    90.1   213.5   347.2     6.5   102.6   645.9  1140.8
 2010   214.4   218.0   176.5   108.3    22.0    23.5    10.5     8.9     0.4     6.6    24.7   159.6   306.8    42.8    31.7   702.5   973.3
 2011   219.1   323.8   233.9   133.2    24.6     5.6    13.7     1.7     4.3    18.3    55.1   150.8   391.6    21.1    77.7   594.0  1184.1
 2012   259.6   183.6   227.5    54.3    26.1     6.5     1.2     2.2     3.4    12.4    41.9   211.6   307.9     9.8    57.7   629.7  1030.3
 2013   265.4   152.7   203.3   104.3    62.6     4.3     4.8     1.0     0.9    29.8    57.5   208.2   370.3    10.0    88.2   709.3  1094.8
 2014   231.8   269.3    38.5   152.9    24.4    15.0     7.0     3.8     5.4    23.2    76.6   176.3   215.8    25.8   105.2   590.8  1024.1
 2015   251.0   163.5   211.1    56.3     4.1     5.8     5.1     0.6     1.5     7.2    45.9   199.3   271.6    11.4    54.6   658.9   951.4
 2016   286.7   172.9   171.1   125.4    16.7     6.5     3.6     0.5     1.3     9.4    24.7   187.3   313.2    10.6    35.4   684.6  1006.1
 2017   219.3   278.1   182.9   116.0    85.1     5.9     1.3     3.3     3.3    13.5    71.4   226.5   384.0    10.6    88.3   678.6  1206.8
 2018   231.5   220.5   207.7   111.6    23.5     2.0    13.1     0.5     1.0    46.0    63.1   299.2   342.7    15.5   110.2   836.6  1219.7
 2019   268.5   268.9   356.1   114.9    13.4     8.1     4.5     8.5     1.7    30.6   100.9   270.7   484.4    21.1   133.2  -999.0  1446.8
